,Pinyin Name,English Name,Latin Name,Attributes,Meridians/Energy_channels,Use Part,Effect,Indication
9,TIAN MEN DONG,Cochinchinese Asparagus,Asparagus cochinchinensis  [Syn.  Asparagus lucidus ],"Sweet, bitter,Extremely cold","Lung,kidney",tuberoid,"To enrich  yin and moisten dryness, clear lung and downbear fire.","Yin vacuity fever, cough with blood ejection, lung wilting, pulmonary  welling abscess, swelling pain in throat, diabetes mellitus, constipation."
22,ZE LAN,Shiny Bugleweed,Lycopus lucidus,"Bitter, pungent,slightly warm","Liver,spleen",aerial parts,"To quicken blood and transform stasis, move water and disperse swelling, resolve toxin and eliminate welling abscess.","Amenorrhea, concretion and conglomeration, postpartum blood stasis abdominal pain, edema in body and face, knocks and falls, incised wound."
51,WU ZHAO LONG,Cairo Morningglory,Ipomoea cairica  [Syn.  Ipomoea palmata ],"Cold,Sweet,Bitter","Lung,Large Intestine,Liver",Root or stem-leaf,"To clear heat and resolve toxin, disinhibit water and free strangury.","Lung heat cough, inhibited urination, strangury, edema, swollen welling abscess and toxin of clove."
72,FU ZI,Prepared Common Monkshood Daughter Root Equivalent plant: Aconitum carmichaeli cv,Aconitum carmichaeli,"Extreme Hot,Pungent,Sweet","Spleen,Heart,Kidney",daughter root,"To return  yang  and treat collapse, supplement fire   and reinforce  yang.","Yan g -collapse vacuity desertion, cold limbs and faint pulse, impotence, uterus cold, cold pain in heart and abdomen, vacuity cold chronic diarrhea and dysentery,  yin  cold edema,  yang  vacuity external contraction, wind-cold-damp impediment,  yin  flat abscess and sores."
96,MU BIE ZI,Cochinhina Momordica Seed,Momordica cochinchinensis,"Warm,Slightly Sweet,Bitter","Spleen,Stomach,Liver",ripe seed,"To dissipate binds and disperse swelling, attack toxin and cure sores.","Swollen welling abscess, mammary welling abscess, scrofula, hemorrhoids and fistulas, dry lichen, bald sores."
123,QING FENG TENG,Orientvine,Sinomenium acutum,"Warm,Pungent,Bitter","Spleen,Liver",stem,"To dispel wind and free network vessels, dispel damp and relieve pain.","Wind-damp impediment pain, pain from arthritis, swelling in joints, paralytic and pruritus."
124,SHAN KU MAI,China Ixeris,Ixeris chinensis,"Cool,Bitter","Lung,Liver",whole herb or root,"To clear heat and resolve toxin, disperse swelling and expel pus, cool blood and stanch bleeding.","Intestinal welling abscess, pulmonary welling abscess, lung heat cough, enteritis, dysentery, cholecystitis, pelvic inflamation, swelling toxin of sore and boil, scrotal eczema, blood ejection, spontaneous external bleeding, flooding, knocks and falls."
181,BAI ZI REN,Chinese Arborvitae Kernel*,Biota orientalis,"Mild,Sweet","Large Intestine,Heart,Kidney",kernel,"To nourish heart and quiet spirit, constrain sweat, moisten intestines and free stool.","Fright palpitation and fearful throbbing, sleepless and amnesia, night sweating, intestinal dry and constipation."
203,ZHI MU,Common Anemarrhena,Anemarrhena asphodeloides,"Cold,Sweet,Bitter","Lung,Stomach,Kidney",rhizome,"To clear heat and drain fire, enrich  yin  and moisten dryness, eliminate vexation and allay thirst.","Diabetes mellitus, warm heat disease, ardent fever with vexation and thirst, cough and asthma, dry cough, constipation, steaming bone tidal fever, vacuity vexation and insomnia, strangury-turbidity."
207,KU DI DING,Bunge Corydalis,Corydalis bungeana,"Cold,Pungent,Bitter","Liver,Heart",whole herb,"To clear heat toxin, disperse swollen welling abscess.","Influenza, infection of upper respiratory tract, tonsillitis, infective hepatitis, enteritis, dysentery, nephritis, parotitis, conjunctivitis, acute appendicitis, clove sore and swollen welling abscess, scrofula."
227,BEI SHA SHEN,Coastal Glehnia,Glehnia littoralis,"Minor cold,Sweet","Lung,Stomach",root,"To nourish  yin  and clear lung, boost stomach and engender liquid.","Dry cough due to lung dryness, vacuity taxation hemoptysis, stomach  yin insufficiency, fluid damage and thirst."
244,DANG SHEN,"Pilose Asiabell Equivalent plant:  Codonopsis pilosula var  modesta,  Codonopsis tangshen , Codonopsis tubulosa ,  Codonopsis subglobosa,  Codonopsis canescens, Codonopsis clematidea",Codonopsis pilosula,"Mild,Sweet","Lung,Spleen",root,"To fortify spleen and supplement lung, boost  qi  and engender liquid.","Spleen-stomach vacuity, reduced food intake and sloppy stool, lassitude in limbs, cough and asthma due to lung vacuity, shortness of breath and spontaneous sweating,  qi-blood depletion."
245,JUAN BAI,Tamariskoid Spikemoss Equivalent plant: Selaginella pulvinata,Selaginella tamariscina,"Mild,Pungent","Liver,Heart",dried whole herb,"To quicken blood and free menstruation (raw), transform stasis and stanch bleeding (scorch-fry).","Amenorrhea, concretion and conglomeration, knocks and falls, abdominal pain, asthma (raw), blood ejection, hematuria, hematochezia, prolapse of rectum (scorch-fry)."
275,YIN XING CAO,Chinese Siphonostegia,Siphonostegia chinensis,"Bitter,warm","Heart,spleen",whole herb,"To clear heat and disinhibit damp, quicken blood and dispel stasis.","Jaundice, inhibited urination, abdominal distention with edema, stasis pain from knocks and falls, blood dysentery, blood strangury, vaginal discharge, menstrual disorder, concretion conglomeration accumulation and gathering, postpartum abdomin al pain."
